date,kospi,fx,cds,spread,kospi_6m_avg,kospi_gap_pct,fx_6m_avg,fx_gap_pct
2018-05-04,2461.00,1077.20,43,60.0,,,,
2018-05-08,2450.00,1076.50,42,59.0,,,,
2018-05-09,2444.00,1080.90,43,59.0,,,,
2018-05-10,2464.00,1073.10,42,60.0,,,,
2018-05-11,2478.00,1069.30,41,60.0,,,,
2018-05-14,2476.00,1068.00,40,60.0,,,,
2018-05-15,2459.00,1073.80,41,60.0,,,,
2018-05-16,2460.00,1077.60,42,60.0,,,,
2018-05-17,2448.00,1081.20,45,61.0,,,,
2018-05-18,2461.00,1077.60,44,61.0,,,,
2018-05-21,2466.00,1085.40,44,61.0,,,,
2018-05-23,2472.00,1080.70,43,61.0,,,,
2018-05-24,2466.00,1079.60,44,63.0,,,,
2018-05-25,2461.00,1078.00,47,62.0,,,,
2018-05-28,2479.00,1074.20,45,62.0,,,,
2018-05-29,2457.00,1076.80,44,62.0,,,,
2018-05-30,2409.00,1080.90,46,63.0,,,,
2018-05-31,2423.00,1077.70,46,62.0,,,,
2018-06-01,2439.00,1075.00,44,62.0,2457.44,-0.75,1077.14,-0.20
2018-06-04,2448.00,1071.90,43,62.0,2457.44,-0.38,1077.14,-0.49
2018-06-05,2454.00,1070.70,43,63.0,2457.44,-0.14,1077.14,-0.60
2018-06-07,2471.00,1069.00,43,62.0,2457.44,0.55,1077.14,-0.76
2018-06-08,2452.00,1075.90,43,63.0,2457.44,-0.22,1077.14,-0.12
2018-06-11,2470.00,1075.20,44,61.0,2457.44,0.51,1077.14,-0.18
2018-06-14,2423.00,1083.10,43,62.0,2457.44,-1.40,1077.14,0.55
2018-06-15,2404.00,1097.70,43,63.0,2457.44,-2.17,1077.14,1.91
2018-06-18,2376.00,1104.80,44,63.0,2457.44,-3.31,1077.14,2.57
2018-06-19,2340.00,1109.10,45,64.0,2457.44,-4.78,1077.14,2.97
2018-06-20,2364.00,1105.10,46,64.0,2457.44,-3.80,1077.14,2.60
2018-06-21,2338.00,1112.80,44,64.0,2457.44,-4.86,1077.14,3.31
2018-06-22,2357.00,1107.40,45,64.0,2457.44,-4.09,1077.14,2.81
2018-06-25,2358.00,1117.20,45,64.0,2457.44,-4.05,1077.14,3.72
